,,Weight,Value,LV1Rarity,LV2Quantity,LV3Quantity,LV4Quantity,LV5Quantity,LV6Quantity,LV7Quantity,LV8Quantity,LV9Quantity,LV10Quantity
,,int,int,int,int,int,int,int,int,int,int,int,int
1,小垃圾,1,1,[16_5],[16_5],[16_5],[16_5],[16_5],[16_5],[16_1],[16_1],[16_1],[10_2]
2,中垃圾,2,2,[14_1],[14_1],[14_1],[14_1],[14_1],[14_0],[14_0],[14_0],[14_0],[9_0]
3,大垃圾,4,3,[12_0],[12_0],[12_0],[12_0],[12_0],[12_0],[12_0],[12_0],[12_0],[8_0]
4,蚌,4,5,[1_3],[1_3],[1_3],[2_4],[2_4],[2_4],[2_4],[2_4],[2_5],[2_5]
5,小鱼,1,10,[12_10],[12_10],[12_10],[11_10],[11_12],[11_12],[11_12],[11_12],[11_12],[11_12]
6,中鱼,2,20,[8_8],[8_8],[8_8],[9_8],[10_8],[10_8],[10_8],[10_8],[10_8],[10_8]
7,大鱼,4,30,[6_7],[6_7],[6_7],[6_9],[8_9],[8_9],[8_9],[8_9],[8_9],[8_9]
8,贵鱼,1,70,[1_2],[1_1],[1_1],[1_2],[1_2],[1_2],[1_2],[1_2],[1_2],[2_2]
9,珍珠,2,100,[0_1],[0_1],[0_1],[0_2],[0_1],[0_1],[0_1],[0_1],[0_1],[0_1]
10,Props,1,0,[1_1],[1_2],[1_2],[1_3],[1_3],[1_4],[1_4],[1_5],[1_5],[1_6]
11,UI,1,0,[0_0],[0_0],[0_0],[0_0],[0_0],[0_0],[0_0],[0_0],[0_0],[0_0]
//,修改时间0524,,,,,,,,,,,,
